name,url
Oggie’s Kitchen & Bar,https://www.yelp.com/biz/oggies-kitchen-and-bar-milwaukee
Victor’s Cocktail Lounge & Restaurant,https://www.yelp.com/biz/victors-cocktail-lounge-and-restaurant-milwaukee
Sabbatic,https://www.yelp.com/biz/sabbatic-milwaukee
Milwaukee Ale House,https://www.yelp.com/biz/milwaukee-ale-house-milwaukee
The Fire Pit Sports Bar & Grill,https://www.yelp.com/biz/the-fire-pit-sports-bar-and-grill-milwaukee
The Crooked Crow,https://www.yelp.com/biz/the-crooked-crow-west-allis
The Thirsty Fox,https://www.yelp.com/biz/the-thirsty-fox-milwaukee
The Brass Tap,https://www.yelp.com/biz/the-brass-tap-greenfield
Blackbird Bar,https://www.yelp.com/biz/blackbird-bar-milwaukee
Art Bar,https://www.yelp.com/biz/art-bar-milwaukee
Vintage,https://www.yelp.com/biz/vintage-milwaukee
Story Hill BKC,https://www.yelp.com/biz/story-hill-bkc-milwaukee
The Rave / Eagles Club,https://www.yelp.com/biz/the-rave-eagles-club-milwaukee-3
Three Lions Pub,https://www.yelp.com/biz/three-lions-pub-shorewood
The Yard,https://www.yelp.com/biz/the-yard-milwaukee
The Highbury,https://www.yelp.com/biz/the-highbury-milwaukee
Paddy’s Pub,https://www.yelp.com/biz/paddys-pub-milwaukee
Restaurant To Be Named Later,https://www.yelp.com/biz/restaurant-to-be-named-later-milwaukee
Café Benelux,https://www.yelp.com/biz/caf%C3%A9-benelux-milwaukee-2
the Bar at Saint Kate,https://www.yelp.com/biz/the-bar-at-saint-kate-milwaukee-3
